Module	SGI 5.8.0	Built	Build Notes
SQL::Statement	1.004	Y	
Storable	2.04	Y	
String::Approx	3.18	Y	
Template-Toolkit	2.08	Y	
TermReadKey	2.21	Y	
Test	1.20	Y	
Test-Harness	2.26	Y	
Test-Inline	0.15	Y	
Test-Simple	0.46	Y	
Text::Autoformat	1.04	Y	
Text::CSV_XS	0.23	Y	
Text::Metaphone	1.96	Y	
Text::Reform	1.06	Y	
Text::Template	1.43	Y	
Tie::Cache	0.17	Y	
Tie::IxHash	1.21	Y	
Tie::TwoLevelHash	1.2	Y	
Time-modules	101.062101	Y	
Tk	800.024	Y	
Tk::Clock	0.06	Y	
Tk::ColourChooser	1.50	Y	
Tk::Date	0.40	Y	
Tk::FileDialog	1.3	Y	
Tk::FontDialog	0.06	Y	
Tk::HistEntry	0.40	Y	
Tk::HTML	3.002	Y	
Tk::JPEG	2.014	Y	
Tk::MesgBox	1.12	Y	
Tk::MListBox	1.11	Y	
Tk::Month	1.2	Y	
Tk::Multi	1.003	Y	
Tk::ObjEditor	1.001	Y	
Tk::ObjScanner	1.022	Y	
Tk::PathEntry	2.17	Y	
Tk::PNG	2.005	Y	
Tk::Pod	0.11	Y	Built without required Text::English
Tk::SlideShow	0.07	Y	
Tk::TableMatrix	0.9	Y	
Tk::Text::SuperText	0.9.4	Y	
Tk::TextANSIColor	0.14	Y	
Tk::TreeGraph	1.024	Y	
Tk::WaitBox	1.3	Y	
Tk::Workspace	1.74	Y	
Tk::XMLViewer	0.14	Y	
Tk-Contrib	0.07	Y	
Tk-DKW	0.03	Y	
Tk-GBARR	2.05	Y	
Tree::DAG_Node	1.04	Y	
Unicode::Map	0.112	Y	
Unicode::Map8	0.11	Y	
Unicode::String	2.06	Y	
URI	1.2	Y	
VCS::Rcs::Parser	0.06	Y	
WDDX	1.01	Y	
WeakRef	0.01	Y	
X11::Protocol	0.04	Y	
XML::AutoWriter	0.37	Y	
XML::Catalog	0.02	Y	
XML::CSV	0.15	Y	
XML::DOM	1.39	Y	Some of the tests failed
XML::Dumper	0.4	Y	
XML::Edifact	0.46	Y	
XML::Encoding	1.01	Y	
XML::Generator	0.91	Y	
XML::Generator::CGI	0.01	Y	
XML::Generator::DBI	0.03	Y	
XML::Generator::PerlData	0.87	Y	
XML::Grove	0.05	Y	
XML::LibXML	1.53	Y	
XML::LibXML-Common	0.10	Y	
XML::LibXSLT	1.52	Y	
XML::miniXQL	0.04	Y	
XML::NamespaceSupport	1.08	Y	
XML::Parser	2.31	Y	
XML::PYX	0.07	Y	
XML::QL	0.07	Y	
XML::RegExp	0.03	Y	
XML::Registry	0.02	Y	
XML::RSS	0.97	Y	
XML::Sax	0.11	Y	
XML::Schematron	0.98	Y	
XML::Simple	1.08	Y	
XML::TreeBuilder	3.08	Y	
XML::Twig	3.05	Y	
XML::Writer	0.4	Y	
XML::XPath	1.12	Y	
XML::XQL	0.67	Y	
XML::XSLT	0.31	Y	
			
			
