Module	Win32 5.8.0	Built	Build Notes
Win32::NetResource	0.05	Y	
Win32::ODBC	0.032	Y	
Win32::OLE	0.13	Y	
Win32::PerfLib	0.05	Y	
Win32::Pipe	0.022	Y	
Win32::Process	0.07	Y	
Win32::Registry	0.07	Y	
Win32::Semaphore	1.02	Y	
Win32::Service	0.05	Y	
Win32::Shortcut	0.03	Y	
Win32::Sound	0.47	Y	
Win32::TieRegistry	0.23	Y	
Win32::WinError	0.02	Y	
Win32-API	0.20	Y	
X11::Protocol	0.04	Y	
XML::AutoWriter	0.37	Y	
XML::Catalog	0.02	Y	
XML::CSV	0.15	Y	
XML::DOM	1.39	Y	Some of the tests failed
XML::Dumper	0.4	Y	
XML::Edifact	0.46	Y	
XML::Encoding	1.01	Y	
XML::Generator	0.91	Y	
XML::Generator::CGI	0.01	Y	
XML::Generator::DBI	0.03	Y	
XML::Generator::PerlData	0.87	Y	
XML::Grove	0.05	Y	
XML::miniXQL	0.04	Y	
XML::NamespaceSupport	1.08	Y	
XML::Parser	2.31	Y	
XML::PYX	0.07	Y	
XML::QL	0.07	Y	
XML::RegExp	0.03	Y	
XML::Registry	0.02	Y	
XML::RSS	0.97	Y	
XML::Sax	0.11	Y	
XML::Schematron	0.98	Y	
XML::Simple	1.08	Y	
XML::TreeBuilder	3.08	Y	
XML::Twig	3.05	Y	
XML::Writer	0.4	Y	
XML::XPath	1.12	Y	
XML::XQL	0.67	Y	
XML::XSLT	0.31	Y	
